,locality,2020-03_hosps,2020-04_hosps,2020-05_hosps,2020-06_hosps,2020-07_hosps,2020-08_hosps,2020-09_hosps,2020-10_hosps,2020-11_hosps,2020-12_hosps,2021-01_hosps,2021-02_hosps,2021-03_hosps,2021-04_hosps,2021-05_hosps,2020-03_deaths,2020-04_deaths,2020-05_deaths,2020-06_deaths,2020-07_deaths,2020-08_deaths,2020-09_deaths,2020-10_deaths,2020-11_deaths,2020-12_deaths,2021-01_deaths,2021-02_deaths,2021-03_deaths,2021-04_deaths,2021-05_deaths,2020-03_cases,2020-04_cases,2020-05_cases,2020-06_cases,2020-07_cases,2020-08_cases,2020-09_cases,2020-10_cases,2020-11_cases,2020-12_cases,2021-01_cases,2021-02_cases,2021-03_cases,2021-04_cases,2021-05_cases
62,Isle of Wight,1,9,12,16,20,25,35,45,55,79,98,113,135,144,150,0,2,3,8,9,11,19,26,28,29,38,52,61,66,68,4,99,128,179,325,552,753,882,1038,1519,2179,2649,2919,3107,3147
63,James City,24,51,55,58,59,63,65,69,72,100,113,126,138,146,155,4,12,16,15,16,18,21,22,22,28,39,52,71,72,72,89,158,205,263,538,743,856,967,1209,1898,3454,3867,4254,4541,4615
64,King George,0,12,14,15,16,21,21,25,30,34,38,47,49,54,55,0,4,4,4,4,4,4,5,5,10,11,16,18,19,20,3,32,68,98,122,202,232,289,420,736,1225,1420,1522,1649,1725
65,King William,0,1,3,4,7,9,13,17,20,26,29,36,41,45,48,0,1,1,0,2,2,2,4,5,5,5,8,11,11,12,1,5,30,42,77,115,161,212,285,453,718,903,1076,1193,1226
66,King and Queen,0,0,2,4,4,7,10,12,14,15,18,20,22,26,27,0,0,1,1,1,1,1,2,2,2,3,6,8,8,8,1,2,13,24,35,49,73,87,104,171,251,305,356,388,400
67,Lancaster,0,1,1,1,1,5,8,8,12,15,18,23,23,24,25,0,0,0,0,0,0,0,1,1,2,3,11,16,16,16,1,2,10,12,29,71,151,204,242,344,563,661,683,710,714
68,Lee,0,1,1,1,7,15,26,33,46,60,87,95,105,110,110,0,0,0,0,1,3,7,10,14,29,37,39,45,46,48,2,9,10,11,91,201,280,536,933,1476,2146,2289,2363,2413,2429
69,Lexington,0,0,0,0,1,2,3,3,8,17,19,20,22,23,26,0,0,0,0,0,0,1,1,2,4,18,23,31,33,32,0,3,7,10,28,43,106,253,356,596,810,1108,1153,1171,1207
70,Loudoun,8,90,163,275,335,384,435,485,556,652,765,863,946,1035,1065,2,15,63,87,110,118,125,131,143,159,181,229,269,274,277,87,746,2575,4000,4995,5979,6889,7981,10049,14169,20384,23076,25251,27309,27846
71,Louisa,0,9,9,11,22,28,31,40,47,58,77,83,102,106,110,0,0,1,1,2,2,6,8,8,9,12,21,28,32,32,9,43,79,118,165,250,294,410,532,902,1502,1687,1791,1945,1984
72,Lunenburg,0,0,0,3,4,6,7,8,9,11,14,17,23,26,26,0,0,0,0,1,2,3,4,5,4,4,5,10,13,13,0,4,13,31,55,93,118,155,171,348,566,642,721,757,773
73,Lynchburg,1,5,7,6,8,28,42,66,81,114,156,201,284,319,337,0,1,1,1,2,5,13,28,30,53,71,117,144,146,151,5,53,80,147,429,986,1441,2078,2758,4255,6173,6897,7196,7606,7866
74,Madison,0,1,3,4,5,6,7,10,13,17,20,21,21,21,21,0,0,1,1,1,2,3,3,4,4,6,12,15,16,16,3,14,41,43,60,91,110,139,190,299,473,532,563,606,620
75,Manassas City,0,28,64,97,118,126,130,132,138,147,155,162,166,169,173,0,3,10,16,20,23,26,27,28,30,33,39,45,47,47,8,216,1092,1397,1604,1805,1931,2059,2311,2887,3696,4002,4159,4302,4309
76,Manassas Park,1,8,30,46,50,53,55,58,61,63,66,66,67,68,69,0,1,6,6,7,7,8,8,8,8,8,11,12,12,12,1,61,305,431,497,565,616,658,726,931,1070,1124,1169,1211,1219
