,locality,2020-03_hosps,2020-04_hosps,2020-05_hosps,2020-06_hosps,2020-07_hosps,2020-08_hosps,2020-09_hosps,2020-10_hosps,2020-11_hosps,2020-12_hosps,2021-01_hosps,2021-02_hosps,2021-03_hosps,2021-04_hosps,2021-05_hosps,2020-03_deaths,2020-04_deaths,2020-05_deaths,2020-06_deaths,2020-07_deaths,2020-08_deaths,2020-09_deaths,2020-10_deaths,2020-11_deaths,2020-12_deaths,2021-01_deaths,2021-02_deaths,2021-03_deaths,2021-04_deaths,2021-05_deaths,2020-03_cases,2020-04_cases,2020-05_cases,2020-06_cases,2020-07_cases,2020-08_cases,2020-09_cases,2020-10_cases,2020-11_cases,2020-12_cases,2021-01_cases,2021-02_cases,2021-03_cases,2021-04_cases,2021-05_cases
104,Richmond City,2,63,151,220,276,375,419,454,505,557,626,680,747,790,803,0,15,24,31,39,47,61,77,82,94,132,191,243,258,266,26,339,1316,2209,2893,3897,4674,5415,6712,9158,12757,14829,15773,16777,17033
105,Richmond County,0,5,9,13,14,14,17,15,15,21,33,34,39,47,51,0,0,4,8,6,5,7,5,5,6,7,8,12,15,15,0,144,278,318,322,333,354,380,429,811,1223,1389,1441,1491,1519
106,Roanoke City,1,5,9,14,18,44,70,108,129,144,170,193,222,242,252,0,0,9,10,11,15,28,43,76,99,119,149,179,189,192,6,73,160,439,814,1200,1787,2920,4109,5236,6928,7564,7985,8347,8489
107,Roanoke County,0,1,8,11,13,22,29,47,68,99,121,131,145,168,178,0,0,7,7,7,7,9,15,33,68,78,106,135,139,145,3,51,105,254,430,606,910,1642,2962,4686,6485,7317,7776,8129,8268
108,Rockbridge,0,0,0,1,1,3,6,7,11,21,36,40,44,46,53,0,0,0,0,0,1,2,3,3,6,29,35,44,46,46,2,6,18,30,66,85,119,154,264,599,1072,1279,1446,1507,1553
109,Rockingham,0,15,53,73,93,103,115,131,158,226,280,315,357,378,387,0,1,6,10,17,20,22,27,36,48,74,92,104,105,107,5,240,518,720,890,1058,1460,1785,2270,3919,5537,6046,6347,6676,6778
110,Russell,0,1,2,2,8,21,26,42,59,90,103,120,126,130,130,0,0,0,0,1,4,5,8,9,16,22,29,36,38,38,0,3,8,12,60,187,275,521,802,1520,1908,2029,2158,2241,2288
111,Salem,0,2,4,3,5,9,15,28,34,40,49,56,64,69,72,0,0,3,3,3,3,6,10,22,26,33,41,44,47,49,0,26,34,68,131,212,275,612,886,1172,1736,1879,1986,2125,2174
112,Scott,0,2,2,2,6,14,17,30,55,81,103,112,116,122,128,0,1,2,2,3,4,4,6,14,34,44,48,51,52,57,0,7,8,10,51,153,191,445,780,1214,1499,1583,1694,1807,1849
113,Shenandoah,3,12,44,62,71,80,88,99,117,141,166,174,183,204,218,0,2,21,29,42,48,59,61,62,73,94,119,128,130,133,7,108,448,562,667,769,808,996,1403,2204,3407,3704,3889,4229,4347
114,Smyth,1,4,4,5,8,25,48,55,71,114,159,169,181,195,204,0,0,0,1,3,3,20,27,37,55,75,86,91,91,93,1,13,15,36,107,273,515,645,1043,1817,2409,2516,2628,2858,2969
115,Southampton,1,3,6,7,12,15,22,29,32,35,43,49,53,54,54,1,1,2,4,12,13,25,38,40,42,46,51,53,56,56,1,125,147,156,234,351,774,936,988,1142,1710,1854,1913,1970,1980
116,Spotsylvania,2,23,40,74,92,119,134,155,180,211,242,280,289,304,317,0,3,7,29,33,38,44,54,58,67,82,99,108,114,120,7,143,556,993,1305,1801,2153,2494,3161,4797,7194,8281,8845,9693,10078
117,Stafford,2,44,74,93,116,136,160,172,196,225,272,309,337,354,362,0,2,4,5,7,10,18,21,22,24,48,67,70,75,79,24,240,713,988,1243,1704,2028,2440,3306,5221,7956,9555,10150,11067,11361
118,Staunton,0,0,5,8,10,11,13,17,28,50,63,77,80,83,84,0,0,0,0,0,0,0,4,13,31,52,66,69,69,71,0,12,45,73,140,170,268,414,912,1585,2208,2431,2527,2551,2527
119,Suffolk,0,32,50,57,92,113,123,137,160,234,307,388,421,436,452,0,12,32,34,49,61,73,78,80,90,112,151,176,185,191,4,169,315,414,1034,1635,1984,2345,2767,3987,5810,6901,7391,7821,7948
120,Surry,0,1,3,4,4,5,9,10,11,15,16,19,21,21,21,0,1,1,1,2,3,3,5,5,5,5,6,9,9,9,1,4,10,15,35,68,121,142,176,247,324,362,405,421,424
121,Sussex,0,3,8,14,24,28,29,30,31,33,39,41,45,47,48,0,1,2,2,9,9,12,13,13,13,16,16,21,21,21,0,31,154,195,276,339,516,649,669,713,996,1067,1135,1180,1193
122,Tazewell,0,0,0,0,5,14,16,29,50,86,117,132,150,157,165,0,0,0,0,0,1,2,2,7,24,33,52,64,66,71,2,6,9,15,87,195,321,551,1079,2335,2958,3185,3386,3581,3665
123,Virginia Beach,11,77,94,118,200,321,381,448,530,748,1080,1291,1425,1572,1638,2,14,23,29,45,68,91,108,113,150,206,302,362,385,403,65,385,708,1176,4055,6028,6937,8119,10854,16629,26211,30595,33166,35360,36025
124,Warren,1,4,14,19,23,23,28,42,61,69,76,89,94,109,114,0,0,2,5,8,7,7,21,26,33,37,45,52,55,58,3,52,157,285,348,391,440,619,859,1329,1999,2292,2559,2895,3029
125,Washington,1,8,8,8,18,32,61,91,121,187,299,349,372,408,424,0,3,4,4,4,9,21,26,31,44,79,95,102,106,110,2,36,51,64,170,368,593,1055,1756,2970,4057,4270,4482,4826,4953
126,Waynesboro,0,1,2,6,8,10,10,12,20,37,56,67,71,73,73,0,0,0,0,2,3,3,4,5,13,25,31,34,37,38,2,11,46,82,166,215,276,403,626,1194,1855,2141,2251,2345,2383
127,Westmoreland,0,2,8,12,15,20,22,25,29,43,57,65,70,75,77,0,0,1,2,2,3,3,5,7,9,16,17,22,24,26,0,22,65,108,193,223,276,351,427,692,1018,1110,1194,1261,1293
128,Williamsburg,2,6,10,12,12,12,12,14,17,22,24,24,24,27,28,1,1,4,6,6,6,7,8,8,8,9,9,12,12,13,8,20,44,60,107,155,183,223,289,358,444,524,684,758,769
129,Winchester,0,1,12,23,29,34,37,42,59,76,85,98,104,115,119,0,0,2,3,4,4,4,5,5,10,20,34,41,44,46,3,37,189,317,391,439,508,631,1066,1649,2287,2460,2657,2818,2909
130,Wise,0,9,11,12,14,29,32,44,69,106,136,149,155,159,166,0,1,2,2,3,5,9,10,49,58,84,90,93,96,99,0,22,25,28,79,329,425,693,1227,2023,2654,2872,2984,3115,3228
131,Wythe,0,1,2,4,10,17,23,30,45,69,92,113,123,146,156,0,2,1,1,3,3,4,7,7,28,36,58,74,78,79,1,11,23,50,100,160,245,351,684,1311,1797,2022,2313,2592,2664
132,York,2,6,9,10,14,15,16,21,27,36,41,52,57,68,70,1,1,3,3,3,6,8,9,9,12,16,30,50,52,54,14,46,74,115,301,461,553,658,921,1472,2548,3008,3439,3689,3739
