,lea_name_19_20,students_19_20,teachers_19_20,schools_19_20,locale_19_20,dist_pp_19,student_teacher_ratio_19_20,student_school_psychologists_ratio_19_20,student_support_services_staff_ratio_19_20,student_school_counselors_ratio_19_20,student_librarians_media_specialists_ratio_19_20,percent_title_1_schools_19_20,percent_title_1_schoolwide_schools_19_20,percent_of_inexperienced_teachers_19_20,percent_of_out_of_field_teachers_19_20,tech_grant_percent_schools_participation,1920_enrollrate,2021_enrollrate,percent_students_bipoc_19,percent_students_bipoc_21,19_20_asian,19_20_asian_disadv,19_20_black_not_hisp,19_20_black_not_hisp_disadv,19_20_hisp,19_20_hisp_disadv,19_20_white_not_hisp,19_20_white_not_hisp_disadv,20_21_asian,20_21_asian_disadv,20_21_black_not_hisp,20_21_black_not_hisp_disadv,20_21_hisp,20_21_hisp_disadv,20_21_white_not_hisp,20_21_white_not_hisp_disadv,avg_grad_rate_16_19_total,avg_grad_rate_16_19_asian,avg_grad_rate_16_19_black,avg_grad_rate_16_19_hisp,avg_grad_rate_16_19_white,2020allgrad,2020asiangrad,2020blackgrad,2020hispanicgrad,2020whitegrad,avg_drop_rate_16_19_total,avg_drop_rate_16_19_black,avg_drop_rate_16_19_asian,avg_drop_rate_16_19_white,avg_drop_rate_16_19_hisp,2020alldrop,2020asiandrop,2020blackdrop,2020hispanicdrop,2020whitedrop,total_population,median_income,total_percent_below_poverty_level,percent_county_bipoc_19,percent_total_population_hispanic,percent_total_population_white_alone,percent_total_population_black_or_african_american_alone,percent_total_population_asian_alone,total_household,smartphone_with_no_other_type_of_computing_device,no_computer,cellular_data_plan_no_internet_subscription,without_an_internet_subscription_total,2020_12_hosps_rate,2020_12_deaths_rate,2020_12_cases_rate,LAT,LON
10,BEDFORD CO PBLC SCHS,9555,669.0,22,1,10645.10526,14.3,1365.0,159.0,167.6,316.4,0.364,1.0,0.052000000000000005,0.06,0.8636363636363636,0.248443133,0.29591461199999997,0.13930140138,0.13983651225000002,0.01903367496,0.01547987616,0.07948128007000001,0.1359649123,0.04078644635,0.05366357069,0.8077807990000001,0.721878225,0.018528610350000002,0.016622922130000002,0.08043596730000001,0.1370662001,0.0408719346,0.049577136189999996,0.8039237056999999,0.715077282,0.915,0.9175,0.8875000000000001,0.9025000000000001,0.92,0.92,0.94,0.89,0.74,0.94,0.05500000000000001,0.0525,0.0675,0.052500000000000005,0.08499999999999999,0.04,0.06,0.08,0.19,0.02,78376.0,64199.0,0.08900000000000001,0.10300000000000001,0.022000000000000002,0.877,0.069,0.012,"31,390",0.106,0.11699999999999999,0.201,0.226,0.030254264563887995,0.009977470228516253,0.039642237419618254,37.3316,-79.5248
11,BLAND CO PBLC SCHS,693,51.8,2,1,10579.5,13.4,3465.0,88.8,173.2,346.5,0.5,1.0,0.016,0.065,1.0,0.219512195,0.32487309600000003,,,,,0.0101010101,0.0,0.014430014430000002,0.0,0.9480519481,1.0,,,0.0029850746300000004,0.0,0.00895522388,0.0,0.9567164179,0.9548192770999999,0.9425,,,,0.9425,0.96,,,,0.96,0.052500000000000005,,,0.055,,0.02,,,,0.02,6388.0,48531.0,0.10300000000000001,0.052000000000000005,0.013000000000000001,0.9390000000000001,0.037000000000000005,0.002,,,,,,0.027083333333333334,0.0125,0.07514088916718847,37.156929999999996,-81.147341
12,BOTETOURT CO PBLC SCHS,4672,320.2,12,1,11010.54545,14.6,1557.3,131.2,179.7,389.3,0.41700000000000004,0.0,0.0,0.01,0.9166666666666665,0.272848566,0.251319261,0.07405821918000001,0.07944030693000001,0.00770547945,0.00798722045,0.020333904110000002,0.03274760383,0.046018835620000004,0.10782747599999999,0.8741438356000001,0.7747603834,0.0092529903,0.00827586207,0.02121417287,0.038620689660000006,0.048973143760000004,0.10137931030000001,0.8693297224,0.7820689654999999,0.95,,,,0.9575,0.96,,,,0.96,0.0225,,,0.0175,,0.02,,,,0.02,33343.0,71110.0,0.065,0.054,0.017,0.929,0.03,0.006999999999999999,,,,,,0.03018575851393189,0.013157894736842105,0.038748762858770956,37.5046,-79.8648
13,BRISTOL CITY PBLC SCHS,2255,158.0,7,3,10702.0,14.3,2255.0,563.8,161.1,451.0,0.5710000000000001,1.0,0.006,0.055999999999999994,0.8571428571428571,0.27049180300000003,0.260299625,0.11396895787,0.12511291779,0.0088691796,0.0,0.06518847007,0.06535947712000001,0.0399113082,0.04575163399,0.8044345898,0.7934640523000001,0.00948509485,0.0,0.07136404697000001,0.09672727273,0.04426377597,0.04945454545,0.7813911471999999,0.7367272726999999,0.8724999999999999,,,,0.8675,0.94,,,,0.94,0.05,,,0.05,,0.0,,,,0.0,16912.0,37500.0,0.226,0.082,0.023,0.882,0.057,0.002,,,,,,0.04580152671755725,0.008724100327153763,0.05422185430463576,36.596965000000004,-82.181538
14,BRUNSWICK CO PBLC SCHS,1538,105.8,5,1,12825.2,14.5,,219.7,207.8,307.6,1.0,1.0,0.033,0.149,1.0,0.300970874,0.25388601,0.80819245778,0.8228807718899999,0.00390117035,0.0,0.7639791938,0.8193624557,0.040312093630000004,0.03305785124,0.1729518856,0.1310507674,0.0048242591299999995,0.0,0.7767057202,0.8093106535,0.04135079256,0.04297224709,0.1578221916,0.133393017,0.8425,,0.8425,,0.8474999999999999,0.94,,0.93,,0.96,0.1025,0.10250000000000001,,0.10500000000000001,,0.01,,0.02,,0.0,16520.0,44434.0,0.204,0.5680000000000001,0.022000000000000002,0.40700000000000003,0.541,0.005,,,,,,0.0655226209048362,0.0124804992199688,0.03880145278450363,36.81058,-77.771563
15,BUCHANAN CO PBLC SCHS,2676,192.2,9,1,11082.0,13.9,5352.0,297.3,205.8,236.8,0.444,1.0,0.034,0.004,0.8888888888888888,0.334365325,0.342622951,0.01270553064,0.01271860096,0.00224215247,0.0,0.0044843049299999995,0.0,0.0059790732400000005,0.0,0.9786995516,1.0,0.00238473768,0.0,0.0039745628,0.0,0.00635930048,0.0,0.980127186,1.0,0.8825000000000001,,,,0.8825000000000001,0.88,,,,0.88,0.0575,,,0.0575,,0.05,,,,0.05,21788.0,31956.0,0.284,0.042,0.005,0.9490000000000001,0.027000000000000003,0.01,,,,,,0.06896551724137931,0.027586206896551724,0.03993023682761153,37.282546999999994,-82.059899
16,BUCKINGHAM CO PBLC SCHS,2113,141.2,5,1,10572.0,15.0,2113.0,257.7,211.3,201.2,0.4,1.0,0.05,0.05,0.8,0.314479638,0.332474227,0.38665404637,0.39671478350999995,0.00189304307,0.0,0.34642688120000004,0.4309012876,0.0383341221,0.046351931330000005,0.5309985802,0.4274678112,0.00199104032,,0.35042309609999994,0.46883468829999997,0.04430064709,0.05149051491,0.5176704827999999,0.3902439024,0.9349999999999999,,0.9375,,0.95,0.95,,0.98,,0.93,0.05,0.04,,0.0425,,0.04,,0.02,,0.05,17059.0,49025.0,0.158,0.36800000000000005,0.024,0.612,0.342,0.002,,,,,,0.028487947406866325,0.008765522279035792,0.08025089395626941,37.541926000000004,-78.51343299999999
17,BUENA VISTA CITY PBLC SCHS,895,67.7,4,1,11400.25,13.2,895.0,271.2,111.9,179.0,0.5,1.0,0.025,0.062,1.0,0.239382239,0.291497976,,,,,0.05139664804,0.08064516128999999,0.02234636872,0.026881720430000002,0.8715083799,0.8360215054,,,0.05349344978000001,0.06888361045,0.02292576419,0.035629453680000006,0.865720524,0.8289786223,0.865,,,,0.8725,0.84,,,,0.81,0.0725,,,0.06999999999999999,,0.13,,,,0.15,6484.0,32455.0,0.255,0.11,0.018000000000000002,0.8809999999999999,0.073,0.019,,,,,,0.03125,0.0078125,0.07896360271437385,37.736863,-79.35120400000001
18,CAMPBELL CO PBLC SCHS,7921,499.0,15,1,9900.153846,15.9,1584.2,287.0,249.1,370.1,0.467,1.0,0.037000000000000005,0.035,0.8666666666666667,0.34792761200000005,0.361796331,0.21954298695,0.22961345835,0.01249842192,0.01199680085,0.1594495644,0.23220474540000002,0.04759500063,0.06878165822,0.7145562429000001,0.5998400427,0.013612430969999999,0.01314252336,0.1624502376,0.22634345790000002,0.05355078978,0.0660046729,0.7006549377,0.6013434579,0.9125000000000001,,0.91,,0.92,0.94,,0.95,0.81,0.94,0.035,0.042499999999999996,,0.0325,,0.02,,0.03,0.13,0.02,55225.0,49664.0,0.11,0.17400000000000002,0.025,0.7959999999999999,0.14,0.009000000000000001,,,,,,0.026150121065375304,0.009200968523002421,0.03739248528746039,37.275999999999996,-79.10278100000001
19,CAROLINE CO PBLC SCHS,4253,210.8,5,1,10216.4,20.2,2126.5,223.8,184.9,425.3,0.4,1.0,0.081,0.047,1.0,0.326431181,0.324422843,0.36656477784999997,0.3718228032,0.00752410063,0.00890346767,0.2619327534,0.3200562324,0.09710792382000001,0.11715089029999999,0.5306842229000001,0.4418931584,0.0077463084000000005,0.007600950120000001,0.2616799806,0.33634204279999996,0.1023965142,0.1273159145,0.5216654563,0.42185273160000003,0.89,,0.9075,0.895,0.88,0.89,,0.93,0.8,0.86,0.05750000000000001,0.0375,,0.0675,0.057499999999999996,0.08,,0.07,0.13,0.1,30381.0,65103.0,0.08800000000000001,0.325,0.048,0.632,0.268,0.009000000000000001,,,,,,0.03864734299516908,0.008695652173913044,0.03406734472203021,38.03825,-77.342811
