,ncesdistid,div_num,fips,lea_name_19_20,students_19_20,teachers_19_20,schools_19_20,locale_19_20,student_teacher_ratio_19_20,inexperienced_teachers_19_20,out_of_field_teachers_19_20,student_psychologists_ratio_19_20,student_support_staff_ratio_19_20,student_counselors_ratio_19_20,student_librarians_media_specialists_ratio_19_20,percent_title1_schools_19_20,dist_pp_19,student_white 19_20,student_white_20_21,disadv_native_19_20,disadv_asian_19_20,disadv_black_19_20,disadv_hisp_19_20,disadv_api_19_20,disadv_multi_19_20,disadv_white_19_20,disadv_native_20_21,disadv_asian_20_21,disadv_api_19_20.1,disadv_multi_19_20.1,disadv_white_19_20.1,disadv_native_20_21.1,disadv_asian_20_21.1,disadv_black_20_21,disadv_hisp_20_21,disadv_api_20_21,disadv_multi_20_21,disadv_white_20_21,2016allgrad,2016asiangrad,2016blackgrad,2016hispanicgrad,2016whitegrad,2017allgrad,2017asiangrad,2017blackgrad,2017hispanicgrad,2017whitegrad,2018allgrad,2018asiangrad,2018blackgrad,2018hispanicgrad,2018whitegrad,2019allgrad,2019asiangrad,2019blackgrad,2019hispanicgrad,2019whitegrad,2020allgrad,2020asiangrad,2020blackgrad,2020hispanicgrad,2020whitegrad,2016alldrop,2016asiandrop,2016blackdrop,2016hispanicdrop,2016whitedrop,2017alldrop,2017asiandrop,2017blackdrop,2017hispanicdrop,2017whitedrop,2018alldrop,2018asiandrop,2018blackdrop,2018hispanicdrop,2018whitedrop,2019alldrop,2019asiandrop,2019blackdrop,2019hispanicdrop,2019whitedrop,2020alldrop,2020asiandrop,2020blackdrop,2020hispanicdrop,2020whitedrop,adult_earn_low,adult_earn_mid,adult_earn_high,total_poverty,tot_pop_hisp,tot_pop_hisp,tot_pop_black,tot_pop_native,tot_pop_asian,tot_pop_api,tot_pop_other,tot_pop_multi,hosps_2021_05,tot_hosps_proportion,deaths_2021_05,tot_deaths_proportion,cases_2021_05,tot_cases_proportion,1920_enrollrate,2021_enrollrate,LAT,LON,student_bipoc_1920,student_bipoc_2021
10,5100360,10,51-019,BEDFORD CO PBLC SCHS,9555,669.0,22,Rural,14.3,0.052,0.06,1365.0,159.0,167.6,316.4,0.364,10645.10526,0.807780799,0.803923706,2.06077e-06,0.015479876,0.135964912,0.053663571,0.0,0.069917441,0.721878225,0.003207932,0.016622922,0.0,0.069917441,0.721878225,0.003207932,0.016622922,0.1370662,0.049577136,0.0,0.078448527,0.715077282,0.93,0.83,0.88,0.92,0.94,0.9,0.92,0.86,0.91,0.91,0.92,1.0,0.92,0.83,0.92,0.91,0.92,0.89,0.95,0.91,0.92,0.94,0.89,0.74,0.94,0.05,0.11,0.07,0.08,0.04,0.07,0.08,0.05,0.09,0.07,0.05,0.0,0.07,0.17,0.05,0.05,0.08,0.02,0.0,0.05,0.04,0.06,0.08,0.19,0.02,0.142,0.555,0.304,0.08900000000000001,2.2,87.7,6.9,0.0,1.2,0.0,0.1,2.0,234.0,0.041218954,102.0,0.043758044,6441.0,0.009596903,0.248443133,0.295914612,37.3316,-79.5248,0.1922192,0.196076294
11,5100390,11,51-021,BLAND CO PBLC SCHS,693,51.8,2,Rural,13.4,0.016,0.065,3465.0,88.8,173.2,346.5,0.5,10579.5,0.948051948,0.956716418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045180723,0.954819277,0.91,,,,0.91,0.98,,,,0.98,0.95,,,,0.95,0.93,,,,0.93,0.96,,,,0.96,0.09,,,,0.09,0.02,,,,0.02,0.05,,,,0.05,0.05,,,,0.06,0.02,,,,0.02,0.23399999999999999,0.556,0.21,0.10300000000000001,1.3,93.9,3.7,0.0,0.2,0.0,0.0,1.0,27.0,0.004756033,10.0,0.004290004,679.0,0.00101169,0.219512195,0.324873096,37.15693,-81.147341,0.051948052,0.043283583
12,5100420,12,51-023,BOTETOURT CO PBLC SCHS,4672,320.2,12,Rural,14.6,0.0,0.01,1557.3,131.2,179.7,389.3,0.417,11010.54545,0.874143836,0.869329722,0.0,0.00798722,0.032747604,0.107827476,0.0,0.076677316,0.774760383,0.0,0.008275862,0.0,0.076677316,0.774760383,0.0,0.008275862,0.03862069,0.10137931,0.0,0.069655172,0.782068966,0.96,,0.94,1.0,0.96,0.94,,0.83,,0.95,0.95,,,,0.96,0.95,,,,0.96,0.96,,,,0.96,0.02,,0.06,0.0,0.01,0.02,,0.0,,0.01,0.02,,,,0.02,0.03,,,,0.03,0.02,,,,0.02,0.139,0.5529999999999999,0.31,0.065,1.7,92.9,3.0,0.1,0.7,0.0,0.0,1.6,65.0,0.011449709,38.0,0.016302016,2539.0,0.003783036,0.272848566,0.251319261,37.5046,-79.8648,0.125856164,0.13067027800000003
13,5100450,102,51-520,BRISTOL CITY PBLC SCHS,2255,158.0,7,Suburb,14.3,0.006,0.056,2255.0,563.8,161.1,451.0,0.571,10702.0,0.80443459,0.781391147,0.0,0.0,0.065359477,0.045751634,0.0,0.095424837,0.793464052,0.0,0.0,0.0,0.095424837,0.793464052,0.0,0.0,0.096727273,0.049454545,0.0,0.117090909,0.736727273,0.9,,0.94,,0.88,0.84,,,,0.83,0.91,,0.88,,0.91,0.84,,0.83,,0.85,0.94,,,,0.94,0.05,,0.06,,0.04,0.04,,,,0.05,0.04,,0.0,,0.05,0.07,,0.0,,0.06,0.0,,,,0.0,0.23399999999999999,0.601,0.166,0.226,2.3,88.2,5.7,0.0,0.2,0.0,0.4,3.2,106.0,0.018671834,34.0,0.014586015,1544.0,0.002300515,0.270491803,0.260299625,36.596965,-82.181538,0.19556541,0.218608852
14,5100480,13,51-025,BRUNSWICK CO PBLC SCHS,1538,105.8,5,Rural,14.5,0.033,0.149,inf,219.7,207.8,307.6,1.0,12825.2,0.172951886,0.157822192,0.0,0.0,0.819362456,0.033057851,0.0,0.016528926,0.131050767,0.0,0.0,0.0,0.016528926,0.131050767,0.0,0.0,0.809310654,0.042972247,0.0,0.014324082,0.133393017,0.82,,0.81,,0.89,0.86,,0.85,,0.89,0.89,,0.9,,0.83,0.8,,0.81,,0.78,0.94,,0.93,,0.96,0.13,,0.15,,0.07,0.11,,0.12,,0.07,0.05,,0.04,,0.09,0.12,,0.1,,0.19,0.01,,0.02,,0.0,0.258,0.595,0.145,0.204,2.2,40.7,54.1,0.0,0.5,0.0,0.2,2.2,53.0,0.009335917,23.0,0.00986701,1322.0,0.001969742,0.300970874,0.25388601,36.81058,-77.771563,0.827048114,0.842177809
15,5100510,14,51-027,BUCHANAN CO PBLC SCHS,2676,192.2,9,Rural,13.9,0.034,0.004,5352.0,297.3,205.8,236.8,0.444,11082.0,0.978699552,0.980127186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.86,,,,0.86,0.9,,,,0.9,0.9,,,,0.9,0.87,,,,0.87,0.88,,,,0.88,0.07,,,,0.07,0.05,,,,0.05,0.05,,,,0.05,0.06,,,,0.06,0.05,,,,0.05,0.239,0.586,0.17300000000000001,0.284,0.5,94.9,2.7,0.2,1.0,0.0,0.1,0.6,106.0,0.018671834,43.0,0.018447018,1447.0,0.002155988,0.334365325,0.342622951,37.282547,-82.059899,0.021300447,0.019872814000000003
16,5100540,15,51-029,BUCKINGHAM CO PBLC SCHS,2113,141.2,5,Rural,15.0,0.05,0.05,2113.0,257.7,211.3,201.2,0.4,10572.0,0.53099858,0.517670483,0.0,0.0,0.430901288,0.046351931,0.0,0.09527897,0.427467811,0.0,0.0,0.0,0.09527897,0.427467811,0.0,0.0,0.468834688,0.051490515,0.0,0.089430894,0.390243902,0.91,,0.86,,0.94,0.94,,0.96,,0.95,0.95,,0.98,,0.94,0.94,,0.95,,0.97,0.95,,0.98,,0.93,0.07,,0.1,,0.05,0.04,,0.04,,0.04,0.04,,0.02,,0.05,0.05,,0.0,,0.03,0.04,,0.02,,0.05,0.23600000000000002,0.623,0.14,0.158,2.4,61.2,34.2,0.6,0.2,0.0,0.0,1.5,56.0,0.009864365,30.0,0.012870013,2133.0,0.003178108,0.314479638,0.332474227,37.541926,-78.513433,0.46900142,0.482329516
17,5100560,103,51-530,BUENA VISTA CITY PBLC SCHS,895,67.7,4,Rural,13.2,0.025,0.062,895.0,271.2,111.9,179.0,0.5,11400.25,0.87150838,0.865720524,0.0,0.0,0.080645161,0.02688172,0.0,0.056451613,0.836021505,0.0,0.0,0.0,0.056451613,0.836021505,0.0,0.0,0.06888361,0.035629454,0.0,0.066508314,0.828978622,0.79,,,,0.79,0.9,,,,0.89,0.87,,,,0.89,0.9,,,,0.92,0.84,,,,0.81,0.12,,,,0.12,0.05,,,,0.06,0.07,,,,0.06,0.05,,,,0.04,0.13,,,,0.15,0.419,0.47100000000000003,0.109,0.255,1.8,88.1,7.3,0.1,1.9,0.2,0.0,0.6,22.0,0.003875286,20.0,0.008580009,910.0,0.001355874,0.239382239,0.291497976,37.736863,-79.351204,0.128491621,0.134279476
18,5100600,16,51-031,CAMPBELL CO PBLC SCHS,7921,499.0,15,Rural,15.9,0.037,0.035,1584.2,287.0,249.1,370.1,0.467,9900.153846,0.714556243,0.700654938,4.73695e-06,0.011996801,0.232204745,0.068781658,0.0,0.080511864,0.599840043,0.006133178,0.013142523,0.0,0.080511864,0.599840043,0.006133178,0.013142523,0.226343458,0.066004673,0.0,0.08703271,0.601343458,0.9,,0.86,,0.91,0.93,,0.95,0.86,0.92,0.91,,0.94,0.8,0.92,0.91,,0.89,0.8,0.93,0.94,,0.95,0.81,0.94,0.04,,0.06,,0.04,0.04,,0.02,0.14,0.04,0.03,,0.03,0.1,0.03,0.03,,0.06,0.13,0.02,0.02,,0.03,0.13,0.02,0.168,0.613,0.21899999999999997,0.11,2.5,79.6,14.0,0.2,0.9,0.0,0.2,2.6,174.0,0.030649991,89.0,0.038181038,4521.0,0.006736159,0.347927612,0.361796331,37.276,-79.102781,0.28544375699999996,0.299345063
19,5100660,17,51-033,CAROLINE CO PBLC SCHS,4253,210.8,5,Rural,20.2,0.081,0.047,2126.5,223.8,184.9,425.3,0.4,10216.4,0.530684223,0.521665456,1.029e-05,0.008903468,0.320056232,0.11715089,0.0,0.107310216,0.441893158,0.0,0.00760095,0.0,0.107310216,0.441893158,0.0,0.00760095,0.336342043,0.127315915,0.0,0.106888361,0.421852732,0.88,,0.88,0.88,0.88,0.87,,0.92,0.88,0.86,0.88,,0.91,0.87,0.86,0.93,,0.92,0.95,0.92,0.89,,0.93,0.8,0.86,0.07,,0.06,0.12,0.07,0.08,,0.02,0.06,0.09,0.04,,0.03,0.0,0.07,0.04,,0.04,0.05,0.04,0.08,,0.07,0.13,0.1,0.191,0.555,0.254,0.08800000000000001,4.8,63.2,26.8,0.3,0.9,0.0,0.4,3.7,63.0,0.011097411,37.0,0.015873016,2622.0,0.003906704,0.326431181,0.324422843,38.03825,-77.342811,0.469315778,0.478334543
