Geographic Area Name,ID,Total Below poverty level,Total Below poverty level AGE Under 18 years,Total Below poverty level AGE 18 to 64 years,Total Below poverty level White alone,Total Below poverty level Black or African American alone,Total Below poverty level American Indian and Alaska Native alone,Total Below poverty level Asian alone,Total Below poverty level Native Hawaiian and Other Pacific Islander alone,Total Below poverty level Some other race alone,Total Below poverty level Two or more races,Total Below poverty level Hispanic or Latino origin (of any race),Total Below poverty level 25 years and over,Total Below poverty level 25 years and over Less than high school graduate,Total Below poverty level 25 years and over High school graduate (includes equivalency),Total Below poverty level 25 years and over Some college associate's degree,Total Below poverty level 25 years and over Bachelor's degree or higher,Total Below poverty level Civilian labor force 16 years and over,Total Below poverty level Civilian labor force 16 years and over Employed,Total Below poverty level Civilian labor force 16 years and over Unemployed,Total Percent below poverty level,Total Percent below poverty level AGE Under 18 years,Total Percent below poverty level AGE 18 to 64 years,Total Percent below poverty level White alone,Total Percent below poverty level Black or African American alone,Total Percent below poverty level American Indian and Alaska Native alone,Total Percent below poverty level Asian alone,Total Percent below poverty level Native Hawaiian and Other Pacific Islander alone,Total Percent below poverty level Some other race alone,Total Percent below poverty level Two or more races,Total Percent below poverty level Hispanic or Latino origin (of any race),Total Percent below poverty level 25 years and over,Total Percent below poverty level 25 years and over Less than high school graduate,Total Percent below poverty level 25 years and over High school graduate (includes equivalency),Total Percent below poverty level 25 years and over Some college associate's degree,Total Percent below poverty level 25 years and over Bachelor's degree or higher,Total Percent below poverty level Civilian labor force 16 years and over,Total Percent below poverty level Civilian labor force 16 years and over Employed,Total Percent below poverty level Civilian labor force 16 years and over Unemployed
Lexington city,b'0500000US51678',1191,126,949,853,199,0,34,0,74,31,127,635,52,105,126,352,330,330,0,27.4,20.9,35.5,23.4,40.2,,32.7,,86.0,100.0,52.0,20.3,21.5,15.2,17.4,23.8,17.0,17.4,0.0
Lynchburg city,b'0500000US51680',13676,3463,9298,7203,5643,10,436,0,195,189,465,5729,1306,1541,1571,1311,5206,4297,909,19.5,23.0,20.9,16.2,26.1,5.2,28.4,0.0,24.6,13.7,17.1,13.1,27.7,14.1,12.9,8.3,14.5,12.6,46.5
Manassas city,b'0500000US51683',3270,1256,1750,1443,595,4,174,0,934,120,1782,1819,747,486,486,100,882,754,128,8.0,11.5,6.7,5.3,10.7,1.3,8.1,0.0,26.0,5.6,11.9,6.9,16.4,7.1,6.7,1.3,3.8,3.5,11.2
Manassas Park city,b'0500000US51685',1073,417,634,590,201,0,10,0,234,38,503,523,97,123,273,30,469,296,173,6.4,9.9,5.7,5.6,7.8,0.0,0.5,0.0,19.0,5.8,7.6,4.7,5.1,4.2,8.7,1.0,4.8,3.2,39.4
Martinsville city,b'0500000US51690',2962,1168,1537,1136,1564,0,61,0,108,93,293,1577,459,604,435,79,699,569,130,23.9,38.2,21.6,19.1,27.8,0.0,46.6,0.0,82.4,18.6,42.9,18.8,33.2,25.8,15.3,4.3,12.8,11.1,39.5
Newport News city,b'0500000US51700',26138,9095,14536,8181,15250,0,1042,0,584,1081,3095,13883,2964,4963,4316,1640,6962,5564,1398,15.3,22.2,13.5,10.3,21.2,0.0,18.6,0.0,15.6,12.1,20.7,12.2,29.0,15.3,10.4,5.4,8.1,6.9,26.8
Norfolk city,b'0500000US51710',41016,13482,24453,11965,24548,113,1089,13,1422,1866,3322,20807,4881,6844,6592,2490,13555,10647,2908,18.7,28.3,16.8,11.8,27.0,13.4,13.0,10.2,21.1,18.5,19.9,14.1,27.6,18.1,13.6,5.8,12.3,10.4,36.9
Norton city,b'0500000US51720',1102,409,602,889,77,0,37,0,0,99,0,520,195,149,118,58,242,158,84,28.2,43.5,25.5,25.3,68.1,,20.1,,,100.0,0.0,19.3,46.8,23.4,11.6,9.4,13.5,9.8,44.0
Petersburg city,b'0500000US51730',7406,2377,4269,1085,5822,65,84,0,158,192,399,4091,1459,1568,842,222,2234,1667,567,24.1,36.5,22.2,20.7,24.6,87.8,28.8,0.0,21.6,26.9,26.7,19.2,40.9,20.6,14.3,5.2,15.0,12.7,32.6
Poquoson city,b'0500000US51735',679,249,325,654,3,0,12,0,0,10,41,404,19,224,75,86,95,95,0,5.6,9.4,4.6,5.8,2.8,0.0,4.0,,0.0,4.0,12.1,4.8,4.6,10.3,3.3,2.4,1.6,1.7,0.0
Portsmouth city,b'0500000US51740',15312,6255,7607,3470,10806,5,98,0,515,418,793,7814,1609,2809,2880,516,3751,2787,964,16.8,28.9,13.6,9.5,22.3,1.6,8.4,0.0,34.9,13.2,20.5,12.6,23.5,15.1,12.7,3.7,8.4,6.7,27.7
Radford city,b'0500000US51750',5349,285,4941,4716,278,0,262,4,6,83,90,1304,195,494,514,101,2110,2056,54,36.3,15.5,43.3,35.7,30.9,,96.3,100.0,42.9,26.4,38.1,16.0,27.2,25.9,21.5,3.2,27.7,28.0,20.0
Richmond City,b'0500000US51760',50200,14402,32040,13315,32361,678,1239,0,515,2092,3740,26225,7901,8228,6885,3211,16141,12617,3524,23.2,37.0,21.5,13.5,31.6,74.5,34.3,0.0,14.2,29.7,25.6,16.8,35.1,24.4,18.4,5.1,13.3,11.1,47.8
Roanoke city,b'0500000US51770',20240,6770,11621,8816,9696,12,179,0,125,1412,1246,11383,2858,4992,2601,932,6266,5077,1189,20.8,31.8,19.1,14.5,34.2,5.5,6.1,0.0,12.1,32.9,20.1,16.5,30.6,21.3,13.1,5.7,12.4,10.7,37.4
Salem city,b'0500000US51775',2058,607,1214,1493,314,23,103,0,84,41,232,1225,411,420,275,119,525,453,72,9.1,12.9,8.8,7.5,22.4,100.0,27.4,0.0,39.8,6.3,32.5,7.5,25.0,9.0,5.3,2.5,4.3,3.9,14.9
Staunton city,b'0500000US51790',2565,495,1510,2062,432,43,7,0,4,17,120,1764,355,721,399,289,785,672,113,11.1,11.0,11.0,10.6,18.1,57.3,2.3,0.0,7.5,2.4,20.1,10.3,21.8,14.3,8.7,5.0,6.4,5.7,24.3
Suffolk city,b'0500000US51800',9267,3463,5052,2583,6049,0,171,0,30,434,694,4986,1589,1621,1243,533,2351,1562,789,10.4,16.1,9.1,5.6,16.2,0.0,9.7,0.0,4.3,12.8,17.8,8.2,26.3,9.9,6.1,3.0,5.2,3.7,27.9
Virginia Beach city,b'0500000US51810',32183,10105,19366,16201,9902,231,1675,22,1309,2843,3789,17145,2909,4817,6513,2906,11402,9409,1993,7.3,10.2,6.9,5.6,11.9,17.4,5.6,5.9,14.2,11.6,10.7,5.6,15.0,7.6,5.9,2.6,4.9,4.3,18.9
Waynesboro city,b'0500000US51820',3659,1360,2026,2368,888,19,117,0,42,225,578,1903,574,704,446,179,918,859,59,16.8,27.3,15.5,13.3,28.7,17.3,49.0,0.0,57.5,49.0,32.3,12.5,27.6,13.9,11.4,4.3,8.4,8.3,11.5
Williamsburg city,b'0500000US51830',2188,247,1796,1334,527,41,65,0,113,108,269,740,95,220,244,181,876,690,186,20.7,15.9,26.6,16.7,28.3,77.4,46.1,,74.8,28.3,33.6,10.3,26.7,16.6,17.2,4.4,15.9,13.2,73.5
Winchester city,b'0500000US51840',4355,1581,2470,3372,467,0,75,0,70,371,1783,2188,680,693,482,333,1378,1227,151,16.3,25.5,15.2,15.3,17.8,0.0,12.1,0.0,22.4,32.9,37.1,11.9,23.7,15.3,10.7,5.1,9.8,9.0,35.2
